persona,persona_cn,file,domain,domain_cn,priority,confidence,group
techno_optimist,技术进步派,techno_optimist/profile_2_0.md,profile_2_0,人格增强卡,True,A,builders
techno_optimist,技术进步派,techno_optimist/psychology.md,psychology,心理学理论映射,True,A,builders
techno_optimist,技术进步派,techno_optimist/career.md,career,职业,True,A-,builders
techno_optimist,技术进步派,techno_optimist/startup.md,startup,创业,True,A-,builders
techno_optimist,技术进步派,techno_optimist/product.md,product,产品,True,A-,builders
techno_optimist,技术进步派,techno_optimist/relationship.md,relationship,关系,False,B+,builders
techno_optimist,技术进步派,techno_optimist/politics.md,politics,政治,False,B+,builders
techno_optimist,技术进步派,techno_optimist/philosophy.md,philosophy,哲学,False,B+,builders
techno_optimist,技术进步派,techno_optimist/public_discourse.md,public_discourse,公共话语,False,B+,builders
systems_operator,系统实用主义者,systems_operator/profile_2_0.md,profile_2_0,人格增强卡,True,A,builders
systems_operator,系统实用主义者,systems_operator/psychology.md,psychology,心理学理论映射,True,A,builders
systems_operator,系统实用主义者,systems_operator/career.md,career,职业,True,A-,builders
systems_operator,系统实用主义者,systems_operator/startup.md,startup,创业,True,A-,builders
systems_operator,系统实用主义者,systems_operator/product.md,product,产品,True,A-,builders
systems_operator,系统实用主义者,systems_operator/relationship.md,relationship,关系,False,B+,builders
systems_operator,系统实用主义者,systems_operator/politics.md,politics,政治,False,B+,builders
systems_operator,系统实用主义者,systems_operator/philosophy.md,philosophy,哲学,False,B+,builders
systems_operator,系统实用主义者,systems_operator/public_discourse.md,public_discourse,公共话语,False,B+,builders
institutionalist,制度修补派,institutionalist/profile_2_0.md,profile_2_0,人格增强卡,True,A,builders
institutionalist,制度修补派,institutionalist/psychology.md,psychology,心理学理论映射,True,A,builders
institutionalist,制度修补派,institutionalist/career.md,career,职业,True,A-,builders
institutionalist,制度修补派,institutionalist/startup.md,startup,创业,False,B+,builders
institutionalist,制度修补派,institutionalist/product.md,product,产品,False,B+,builders
institutionalist,制度修补派,institutionalist/relationship.md,relationship,关系,False,B+,builders
institutionalist,制度修补派,institutionalist/politics.md,politics,政治,True,A-,builders
institutionalist,制度修补派,institutionalist/philosophy.md,philosophy,哲学,False,B+,builders
institutionalist,制度修补派,institutionalist/public_discourse.md,public_discourse,公共话语,True,A-,builders
existentialist,存在主义者,existentialist/profile_2_0.md,profile_2_0,人格增强卡,True,A,builders
existentialist,存在主义者,existentialist/psychology.md,psychology,心理学理论映射,True,A,builders
existentialist,存在主义者,existentialist/career.md,career,职业,True,A-,builders
existentialist,存在主义者,existentialist/startup.md,startup,创业,False,B+,builders
existentialist,存在主义者,existentialist/product.md,product,产品,False,B+,builders
existentialist,存在主义者,existentialist/relationship.md,relationship,关系,True,A-,builders
existentialist,存在主义者,existentialist/politics.md,politics,政治,False,B+,builders
existentialist,存在主义者,existentialist/philosophy.md,philosophy,哲学,True,A-,builders
existentialist,存在主义者,existentialist/public_discourse.md,public_discourse,公共话语,False,B+,builders
performance_hawk,绩效鹰派,performance_hawk/profile_2_0.md,profile_2_0,人格增强卡,True,A,builders
performance_hawk,绩效鹰派,performance_hawk/psychology.md,psychology,心理学理论映射,True,A,builders
performance_hawk,绩效鹰派,performance_hawk/career.md,career,职业,True,A-,builders
performance_hawk,绩效鹰派,performance_hawk/startup.md,startup,创业,True,A-,builders
performance_hawk,绩效鹰派,performance_hawk/product.md,product,产品,False,B+,builders
performance_hawk,绩效鹰派,performance_hawk/relationship.md,relationship,关系,False,B+,builders
performance_hawk,绩效鹰派,performance_hawk/politics.md,politics,政治,True,A-,builders
performance_hawk,绩效鹰派,performance_hawk/philosophy.md,philosophy,哲学,False,B+,builders
performance_hawk,绩效鹰派,performance_hawk/public_discourse.md,public_discourse,公共话语,False,B+,builders
red_leftist,网左,red_leftist/profile_2_0.md,profile_2_0,人格增强卡,True,A,critics
red_leftist,网左,red_leftist/psychology.md,psychology,心理学理论映射,True,A,critics
red_leftist,网左,red_leftist/career.md,career,职业,True,A-,critics
red_leftist,网左,red_leftist/startup.md,startup,创业,False,B+,critics
red_leftist,网左,red_leftist/product.md,product,产品,False,B+,critics
red_leftist,网左,red_leftist/relationship.md,relationship,关系,False,B+,critics
red_leftist,网左,red_leftist/politics.md,politics,政治,True,A-,critics
red_leftist,网左,red_leftist/philosophy.md,philosophy,哲学,False,B+,critics
red_leftist,网左,red_leftist/public_discourse.md,public_discourse,公共话语,True,A-,critics
online_rightist,网右,online_rightist/profile_2_0.md,profile_2_0,人格增强卡,True,A,critics
